W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
1.745,0.65,-0.258599813,3.248,0.167,18.19972131,0.935761533,CLAS omega
1.745,0.75,-0.240753386,3.585,0.186,20.08805446,1.04222542,CLAS omega
1.755,-0.45,-0.488338044,3.194,0.165,14.86712615,0.768026242,CLAS omega
1.755,-0.35,-0.466854403,3.316,0.17,15.4350001,0.791299764,CLAS omega
1.755,-0.25,-0.445370762,3.281,0.168,15.27208545,0.781990355,CLAS omega
1.755,-0.15,-0.423887121,3.38,0.173,15.73290119,0.805263878,CLAS omega
1.755,-0.05,-0.40240348,3.328,0.17,15.49085656,0.791299764,CLAS omega
1.755,0.05,-0.380919839,3.48,0.177,16.19837164,0.823882695,CLAS omega
1.755,0.15,-0.359436198,3.719,0.19,17.31084601,0.884393854,CLAS omega
1.755,0.25,-0.337952557,3.716,0.19,17.2968819,0.884393854,CLAS omega
1.755,0.35,-0.316468917,3.903,0.199,18.16731164,0.926286194,CLAS omega
1.755,0.45,-0.294985276,3.952,0.202,18.39539216,0.940250308,CLAS omega
1.755,0.55,-0.273501635,4.072,0.21,18.9539567,0.977487944,CLAS omega
1.755,0.65,-0.252017994,4.199,0.217,19.54510417,1.010070875,CLAS omega
1.755,0.75,-0.230534353,4.48,0.232,20.85307613,1.079891443,CLAS omega
1.765,-0.65,-0.569510606,3.357,0.178,13.5799771,0.720058363,CLAS omega
1.765,-0.55,-0.544790388,3.63,0.187,14.68433628,0.756465808,CLAS omega
1.765,-0.45,-0.52007017,3.572,0.041,14.44971052,0.16585614,CLAS omega
1.765,-0.35,-0.495349951,3.646,0.041,14.74906063,0.16585614,CLAS omega
1.765,-0.25,-0.470629733,3.514,0.039,14.21508476,0.157765596,CLAS omega
1.765,-0.15,-0.445909514,3.516,0.039,14.22317531,0.157765596,CLAS omega
1.765,-0.05,-0.421189296,3.611,0.042,14.60747612,0.169901411,CLAS omega
1.765,0.05,-0.396469078,3.843,0.045,15.54597915,0.182037227,CLAS omega
1.765,0.15,-0.371748859,3.609,0.045,14.59938557,0.182037227,CLAS omega
1.765,0.25,-0.347028641,3.995,0.05,16.16086045,0.202263585,CLAS omega
1.765,0.35,-0.322308422,3.917,0.05,15.84532926,0.202263585,CLAS omega
1.765,0.45,-0.297588204,3.867,0.053,15.64306567,0.2143994,CLAS omega
1.765,0.55,-0.272867986,4.185,0.058,16.92946207,0.234625759,CLAS omega
1.765,0.65,-0.248147767,4.686,0.06,18.9561432,0.242716302,CLAS omega
1.765,0.75,-0.223427549,5.219,0.065,21.11227301,0.262942661,CLAS omega
1.775,-0.65,-0.60614767,4.038,0.211,14.57813009,0.761759645,CLAS omega
1.775,-0.55,-0.578448644,4.02,0.053,14.51314585,0.19134247,CLAS omega
1.775,-0.45,-0.550749618,3.935,0.053,14.20627585,0.19134247,CLAS omega
1.775,-0.35,-0.523050593,3.618,0.049,13.06183127,0.176901529,CLAS omega
1.775,-0.25,-0.495351567,3.692,0.051,13.32898868,0.184122,CLAS omega
1.775,-0.15,-0.467652541,3.579,0.053,12.92103209,0.19134247,CLAS omega
1.775,-0.05,-0.439953515,3.694,0.054,13.33620915,0.194952705,CLAS omega
1.775,0.05,-0.41225449,3.829,0.057,13.82359091,0.205783411,CLAS omega
1.775,0.15,-0.384555464,4.022,0.06,14.52036632,0.216614117,CLAS omega
1.775,0.25,-0.356856438,3.774,0.059,13.62502797,0.213003882,CLAS omega
1.775,0.35,-0.329157413,4.064,0.066,14.6719962,0.238275529,CLAS omega
1.775,0.45,-0.301458387,4.297,0.077,15.51318103,0.277988117,CLAS omega
1.775,0.55,-0.273759361,4.847,0.084,17.49881043,0.303259764,CLAS omega
1.775,0.65,-0.246060335,5.169,0.078,18.6613062,0.281598352,CLAS omega
1.775,0.75,-0.21836131,5.719,0.08,20.6469356,0.288818823,CLAS omega
1.785,-0.65,-0.641720134,3.67,0.193,12.03374658,0.632837354,CLAS omega
1.785,-0.55,-0.611222566,3.853,0.056,12.63379443,0.183621201,CLAS omega
1.785,-0.45,-0.580724999,3.953,0.06,12.96168943,0.196737001,CLAS omega
1.785,-0.35,-0.550227431,3.749,0.056,12.29278363,0.183621201,CLAS omega
1.785,-0.25,-0.519729863,3.854,0.059,12.63707338,0.193458051,CLAS omega
1.785,-0.15,-0.489232296,3.655,0.058,11.98456233,0.190179101,CLAS omega
1.785,-0.05,-0.458734728,3.732,0.059,12.23704148,0.193458051,CLAS omega
1.785,0.05,-0.42823716,3.617,0.058,11.85996223,0.190179101,CLAS omega
1.785,0.15,-0.397739593,3.772,0.062,12.36819948,0.203294901,CLAS omega
1.785,0.25,-0.367242025,3.765,0.065,12.34524683,0.213131751,CLAS omega
1.785,0.35,-0.336744458,4.036,0.076,13.23384229,0.249200202,CLAS omega
1.785,0.45,-0.30624689,4.316,0.085,14.15194829,0.278710752,CLAS omega
1.785,0.55,-0.275749322,4.344,0.084,14.24375889,0.275431802,CLAS omega
1.785,0.65,-0.245251755,4.891,0.089,16.03734455,0.291826552,CLAS omega
1.785,0.75,-0.214754187,5.436,0.091,17.82437232,0.298384452,CLAS omega
1.795,-0.65,-0.676535936,3.926,0.208,11.8384078,0.627200413,CLAS omega
1.795,-0.55,-0.643372692,3.542,0.061,10.68049935,0.183938583,CLAS omega
1.795,-0.45,-0.610209449,3.673,0.064,11.07551499,0.192984743,CLAS omega
1.795,-0.35,-0.577046206,3.584,0.061,10.80714558,0.183938583,CLAS omega
1.795,-0.25,-0.543882962,3.779,0.064,11.39514597,0.192984743,CLAS omega
1.795,-0.15,-0.510719719,3.637,0.06,10.96696107,0.180923196,CLAS omega
1.795,-0.05,-0.477556475,3.684,0.061,11.10868424,0.183938583,CLAS omega
1.795,0.05,-0.444393232,3.805,0.064,11.47354602,0.192984743,CLAS omega
1.795,0.15,-0.411229988,3.792,0.067,11.434346,0.202030902,CLAS omega
1.795,0.25,-0.378066745,3.712,0.069,11.19311507,0.208061676,CLAS omega
1.795,0.35,-0.344903501,3.919,0.081,11.8173001,0.244246315,CLAS omega
1.795,0.45,-0.311740258,4.148,0.084,12.50782363,0.253292475,CLAS omega
1.795,0.55,-0.278577015,4.389,0.087,13.2345318,0.262338634,CLAS omega
1.795,0.65,-0.245413771,5.019,0.101,15.13422536,0.304554047,CLAS omega
1.795,0.75,-0.212250528,5.797,0.112,17.48019614,0.337723299,CLAS omega
1.805,-0.75,-0.746526208,3.821,0.21,10.69486758,0.587783877,CLAS omega
1.805,-0.65,-0.710798791,3.946,0.075,11.04473894,0.209922813,CLAS omega
1.805,-0.55,-0.675071373,3.832,0.071,10.72565626,0.19872693,CLAS omega
1.805,-0.45,-0.639343955,3.896,0.069,10.90479039,0.193128988,CLAS omega
1.805,-0.35,-0.603616538,3.812,0.065,10.66967684,0.181933105,CLAS omega
1.805,-0.25,-0.56788912,3.699,0.062,10.35339314,0.173536192,CLAS omega
1.805,-0.15,-0.532161703,3.831,0.062,10.72285729,0.173536192,CLAS omega
1.805,-0.05,-0.496434285,3.844,0.062,10.75924391,0.173536192,CLAS omega
1.805,0.05,-0.460706868,3.731,0.063,10.44296021,0.176335163,CLAS omega
1.805,0.15,-0.42497945,3.829,0.067,10.71725935,0.187531046,CLAS omega
1.805,0.25,-0.389252032,3.884,0.073,10.87120274,0.204324871,CLAS omega
1.805,0.35,-0.353524615,3.862,0.08,10.80962539,0.223917667,CLAS omega
1.805,0.45,-0.317797197,4.124,0.081,11.54295575,0.226716638,CLAS omega
1.805,0.55,-0.28206978,4.481,0.088,12.54218834,0.246309434,CLAS omega
1.805,0.65,-0.246342362,4.82,0.097,13.49103945,0.271500172,CLAS omega
1.805,0.75,-0.210614945,5.815,0.112,16.27601544,0.313484734,CLAS omega
1.815,-0.75,-0.782863269,3.678,0.199,9.625238345,0.520778257,CLAS omega
1.815,-0.65,-0.744651228,3.608,0.072,9.442050013,0.188422284,CLAS omega
1.815,-0.55,-0.706439187,3.651,0.066,9.554579988,0.172720427,CLAS omega
1.815,-0.45,-0.668227146,3.599,0.062,9.418497228,0.162252522,CLAS omega
1.815,-0.35,-0.630015106,3.621,0.061,9.476070703,0.159635546,CLAS omega
1.815,-0.25,-0.591803065,3.608,0.059,9.442050013,0.154401594,CLAS omega
1.815,-0.15,-0.553591024,3.59,0.059,9.394944442,0.154401594,CLAS omega
1.815,-0.05,-0.515378983,3.769,0.062,9.863383176,0.162252522,CLAS omega
1.815,0.05,-0.477166943,3.537,0.06,9.256244705,0.15701857,CLAS omega
1.815,0.15,-0.438954902,3.728,0.067,9.756087153,0.175337403,CLAS omega
1.815,0.25,-0.400742861,3.735,0.076,9.774405986,0.198890189,CLAS omega
1.815,0.35,-0.36253082,3.992,0.082,10.44696886,0.214592046,CLAS omega
1.815,0.45,-0.32431878,3.94,0.079,10.3108861,0.206741117,CLAS omega
1.815,0.55,-0.286106739,4.606,0.093,12.05379223,0.243378784,CLAS omega
1.815,0.65,-0.247894698,5.056,0.102,13.2314315,0.266931569,CLAS omega
1.815,0.75,-0.209682657,5.97,0.114,15.62334772,0.298335283,CLAS omega
1.825,-0.75,-0.818830381,3.318,0.18,8.165749429,0.442988215,CLAS omega
1.825,-0.65,-0.778197246,3.332,0.066,8.200204068,0.162429012,CLAS omega
1.825,-0.55,-0.737564111,3.391,0.061,8.345405761,0.150123784,CLAS omega
1.825,-0.45,-0.696930976,3.37,0.058,8.293723803,0.142740647,CLAS omega
1.825,-0.35,-0.656297841,3.275,0.054,8.059924467,0.132896464,CLAS omega
1.825,-0.25,-0.615664706,3.628,0.059,8.928673578,0.145201693,CLAS omega
1.825,-0.15,-0.575031571,3.466,0.057,8.529984184,0.140279601,CLAS omega
1.825,-0.05,-0.534398435,3.478,0.058,8.559516732,0.142740647,CLAS omega
1.825,0.05,-0.4937653,3.421,0.06,8.41923713,0.147662738,CLAS omega
1.825,0.15,-0.453132165,3.365,0.064,8.281418575,0.157506921,CLAS omega
1.825,0.25,-0.41249903,3.315,0.072,8.158366293,0.177195286,CLAS omega
1.825,0.35,-0.371865895,3.468,0.074,8.534906275,0.182117377,CLAS omega
1.825,0.45,-0.33123276,3.854,0.083,9.484869892,0.204266788,CLAS omega
1.825,0.55,-0.290599625,4.165,0.092,10.25025509,0.226416199,CLAS omega
1.825,0.65,-0.24996649,4.739,0.097,11.66289528,0.238721427,CLAS omega
1.825,0.75,-0.209333354,5.551,0.11,13.66126434,0.27071502,CLAS omega
1.835,-0.75,-0.854518034,3.123,0.169,7.262320408,0.392997806,CLAS omega
1.835,-0.65,-0.811515249,3.333,0.065,7.750660878,0.151153002,CLAS omega
1.835,-0.55,-0.768512464,3.351,0.061,7.792518632,0.141851279,CLAS omega
1.835,-0.45,-0.72550968,3.455,0.061,8.034363436,0.141851279,CLAS omega
1.835,-0.35,-0.682506895,3.265,0.055,7.592531583,0.127898694,CLAS omega
1.835,-0.25,-0.639504111,3.379,0.057,7.857630695,0.132549556,CLAS omega
1.835,-0.15,-0.596501326,3.313,0.056,7.704152261,0.130224125,CLAS omega
1.835,-0.05,-0.553498542,3.406,0.059,7.920417326,0.137200418,CLAS omega
1.835,0.05,-0.510495757,3.412,0.062,7.934369911,0.14417671,CLAS omega
1.835,0.15,-0.467492972,3.505,0.069,8.150634976,0.160454726,CLAS omega
1.835,0.25,-0.424490188,3.425,0.073,7.964600512,0.169756449,CLAS omega
1.835,0.35,-0.381487403,3.484,0.072,8.101800929,0.167431018,CLAS omega
1.835,0.45,-0.338484619,3.613,0.08,8.401781503,0.186034465,CLAS omega
1.835,0.55,-0.295481834,4.23,0.094,9.836572311,0.218590496,CLAS omega
1.835,0.65,-0.25247905,4.763,0.099,11.07602693,0.23021765,CLAS omega
1.835,0.75,-0.209476265,5.508,0.115,12.80847288,0.267424543,CLAS omega
1.845,-0.75,-0.889996257,3.155,0.07,6.960017613,0.154421944,CLAS omega
1.845,-0.65,-0.844665912,3.151,0.063,6.951193502,0.138979749,CLAS omega
1.845,-0.55,-0.799335567,3.127,0.059,6.898248835,0.130155638,CLAS omega
1.845,-0.45,-0.754005222,3.29,0.06,7.257831362,0.132361666,CLAS omega
1.845,-0.35,-0.708674877,3.09,0.054,6.816625808,0.1191255,CLAS omega
1.845,-0.25,-0.663344532,3.223,0.055,7.110027501,0.121331527,CLAS omega
1.845,-0.15,-0.618014187,3.254,0.056,7.178414362,0.123537555,CLAS omega
1.845,-0.05,-0.572683842,3.341,0.059,7.370338778,0.130155638,CLAS omega
1.845,0.05,-0.527353497,3.199,0.06,7.057082835,0.132361666,CLAS omega
1.845,0.15,-0.482023152,3.167,0.065,6.986489946,0.143391805,CLAS omega
1.845,0.25,-0.436692807,3.037,0.066,6.699706336,0.145597833,CLAS omega
1.845,0.35,-0.391362462,3.158,0.07,6.966635696,0.154421944,CLAS omega
1.845,0.45,-0.346032116,3.498,0.082,7.716685138,0.180894277,CLAS omega
1.845,0.55,-0.300701771,3.812,0.087,8.409377858,0.191924416,CLAS omega
1.845,0.65,-0.255371426,4.479,0.093,9.88079838,0.205160583,CLAS omega
1.845,0.75,-0.210041081,5.202,0.116,11.47575646,0.255899221,CLAS omega
1.855,-0.75,-0.925320428,2.878,0.064,6.043270751,0.134388231,CLAS omega
1.855,-0.65,-0.87769721,3.077,0.065,6.461134156,0.136488047,CLAS omega
1.855,-0.55,-0.830073992,2.967,0.058,6.230154384,0.121789334,CLAS omega
1.855,-0.45,-0.782450774,3.021,0.054,6.343544454,0.11339007,CLAS omega
1.855,-0.35,-0.734827556,3.129,0.055,6.570324593,0.115489886,CLAS omega
1.855,-0.25,-0.687204339,3.062,0.053,6.429636914,0.111290254,CLAS omega
1.855,-0.15,-0.639581121,3.347,0.059,7.028084504,0.12388915,CLAS omega
1.855,-0.05,-0.591957903,3.083,0.058,6.473733052,0.121789334,CLAS omega
1.855,0.05,-0.544334685,3.155,0.061,6.624919812,0.128088782,CLAS omega
1.855,0.15,-0.496711467,3.048,0.067,6.400239489,0.140687679,CLAS omega
1.855,0.25,-0.449088249,3.059,0.071,6.423337466,0.149086943,CLAS omega
1.855,0.35,-0.401465031,2.988,0.072,6.274250522,0.15118676,CLAS omega
1.855,0.45,-0.353841813,3.333,0.084,6.998687079,0.176384553,CLAS omega
1.855,0.55,-0.306218595,3.825,0.087,8.031796602,0.182684001,CLAS omega
1.855,0.65,-0.258595377,4.677,0.102,9.820839924,0.214181243,CLAS omega
1.855,0.75,-0.210972159,5.111,0.122,10.73216011,0.256177565,CLAS omega
1.865,-0.75,-0.960535125,2.584,0.061,5.179668304,0.122275451,CLAS omega
1.865,-0.65,-0.91064776,2.827,0.063,5.666765594,0.126284483,CLAS omega
1.865,-0.55,-0.860760396,2.942,0.058,5.897284888,0.116261905,CLAS omega
1.865,-0.45,-0.810873032,2.978,0.056,5.969447449,0.112252873,CLAS omega
1.865,-0.35,-0.760985667,3.047,0.055,6.107759026,0.110248358,CLAS omega
1.865,-0.25,-0.711098303,2.984,0.055,5.981474543,0.110248358,CLAS omega
1.865,-0.15,-0.661210939,3.041,0.056,6.095731932,0.112252873,CLAS omega
1.865,-0.05,-0.611323574,3.044,0.058,6.101745479,0.116261905,CLAS omega
1.865,0.05,-0.56143621,2.95,0.06,5.913321013,0.120270936,CLAS omega
1.865,0.15,-0.511548845,2.841,0.064,5.694828812,0.128288998,CLAS omega
1.865,0.25,-0.461661481,2.753,0.067,5.51843144,0.134302545,CLAS omega
1.865,0.35,-0.411774117,2.933,0.076,5.879244247,0.152343185,CLAS omega
1.865,0.45,-0.361886752,3.01,0.079,6.033591948,0.158356732,CLAS omega
1.865,0.55,-0.311999388,3.415,0.084,6.845420765,0.16837931,CLAS omega
1.865,0.65,-0.262112024,4.099,0.096,8.216509434,0.192433497,CLAS omega
1.865,0.75,-0.212224659,4.753,0.126,9.527462635,0.252568965,CLAS omega
1.875,-0.75,-0.995676781,2.681,0.067,5.143142891,0.128530613,CLAS omega
1.875,-0.65,-0.943549122,2.735,0.063,5.246734729,0.120857144,CLAS omega
1.875,-0.55,-0.891421463,2.903,0.058,5.569020445,0.111265307,CLAS omega
1.875,-0.45,-0.839293804,2.915,0.056,5.592040853,0.107428572,CLAS omega
1.875,-0.35,-0.787166144,3.022,0.055,5.797306161,0.105510205,CLAS omega
1.875,-0.25,-0.735038485,3.229,0.059,6.194408204,0.113183674,CLAS omega
1.875,-0.15,-0.682910826,3.073,0.056,5.895142896,0.107428572,CLAS omega
1.875,-0.05,-0.630783167,3.008,0.058,5.770449018,0.111265307,CLAS omega
1.875,0.05,-0.578655507,2.819,0.059,5.407877587,0.113183674,CLAS omega
1.875,0.15,-0.526527848,2.801,0.066,5.373346974,0.126612246,CLAS omega
1.875,0.25,-0.474400189,2.88,0.07,5.524897996,0.134285715,CLAS omega
1.875,0.35,-0.42227253,2.809,0.075,5.388693913,0.143877552,CLAS omega
1.875,0.45,-0.370144871,2.86,0.077,5.486530649,0.147714287,CLAS omega
1.875,0.55,-0.318017211,3.385,0.086,6.493673512,0.164979593,CLAS omega
1.875,0.65,-0.265889552,4.248,0.104,8.149224544,0.199510205,CLAS omega
1.875,0.75,-0.213761893,4.729,0.128,9.071959244,0.245551022,CLAS omega
1.885,-0.75,-1.030775566,2.524,0.06,4.644133051,0.110399359,CLAS omega
1.885,-0.65,-0.976427425,2.502,0.057,4.603653286,0.104879391,CLAS omega
1.885,-0.55,-0.922079283,2.799,0.057,5.150130115,0.104879391,CLAS omega
1.885,-0.45,-0.867731142,2.649,0.052,4.874131716,0.095679445,CLAS omega
1.885,-0.35,-0.813383,2.906,0.054,5.347008972,0.099359423,CLAS omega
1.885,-0.25,-0.759034859,2.69,0.05,4.949571278,0.091999466,CLAS omega
1.885,-0.15,-0.704686717,2.73,0.052,5.023170851,0.095679445,CLAS omega
1.885,-0.05,-0.650338576,2.957,0.059,5.440848428,0.10855937,CLAS omega
1.885,0.05,-0.595990434,2.668,0.058,4.909091513,0.106719381,CLAS omega
1.885,0.15,-0.541642293,2.546,0.064,4.684612816,0.117759317,CLAS omega
1.885,0.25,-0.487294152,2.509,0.067,4.616533211,0.123279285,CLAS omega
1.885,0.35,-0.43294601,2.46,0.07,4.526373734,0.128799253,CLAS omega
1.885,0.45,-0.378597869,2.645,0.074,4.866771759,0.13615921,CLAS omega
1.885,0.55,-0.324249727,3.051,0.082,5.613807424,0.150879124,CLAS omega
1.885,0.65,-0.269901586,4.034,0.105,7.422516928,0.193198879,CLAS omega
1.885,0.75,-0.215553444,4.604,0.121,8.471310842,0.222638708,CLAS omega
1.895,-0.75,-1.065856743,2.476,0.062,4.378256181,0.109633232,CLAS omega
1.895,-0.65,-1.009304547,2.565,0.061,4.535632918,0.107864954,CLAS omega
1.895,-0.55,-0.952752352,2.757,0.058,4.875142283,0.102560121,CLAS omega
1.895,-0.45,-0.896200156,2.685,0.052,4.747826271,0.091950453,CLAS omega
1.895,-0.35,-0.839647961,2.893,0.054,5.115628083,0.095487009,CLAS omega
1.895,-0.25,-0.783095765,2.927,0.055,5.175749533,0.097255287,CLAS omega
1.895,-0.15,-0.726543569,2.988,0.057,5.283614487,0.100791843,CLAS omega
1.895,-0.05,-0.669991374,2.692,0.056,4.760204217,0.099023565,CLAS omega
1.895,0.05,-0.613439178,2.817,0.064,4.981238959,0.113169788,CLAS omega
1.895,0.15,-0.556886983,2.536,0.064,4.484352858,0.113169788,CLAS omega
1.895,0.25,-0.500334787,2.496,0.068,4.41362174,0.1202429,CLAS omega
1.895,0.35,-0.443782591,2.46,0.074,4.349963734,0.130852568,CLAS omega
1.895,0.45,-0.387230396,2.509,0.076,4.436609353,0.134389123,CLAS omega
1.895,0.55,-0.3306782,3.029,0.088,5.356113883,0.155608459,CLAS omega
1.895,0.65,-0.274126004,3.771,0.109,6.668176115,0.192742296,CLAS omega
1.895,0.75,-0.217573809,4.715,0.124,8.337430491,0.219266465,CLAS omega
1.905,-0.75,-1.100941678,2.223,0.057,3.784300897,0.097033356,CLAS omega
1.905,-0.65,-1.042198992,2.304,0.058,3.922190403,0.098735696,CLAS omega
1.905,-0.55,-0.983456306,2.602,0.056,4.429487599,0.095331017,CLAS omega
1.905,-0.45,-0.92471362,2.469,0.051,4.203076434,0.086819319,CLAS omega
1.905,-0.35,-0.865970933,2.787,0.054,4.744420422,0.091926338,CLAS omega
1.905,-0.25,-0.807228247,2.666,0.051,4.538437333,0.086819319,CLAS omega
1.905,-0.15,-0.748485561,2.601,0.052,4.42778526,0.088521658,CLAS omega
1.905,-0.05,-0.689742875,2.477,0.053,4.216695151,0.090223998,CLAS omega
1.905,0.05,-0.631000189,2.63,0.061,4.477153108,0.103842715,CLAS omega
1.905,0.15,-0.572257503,2.462,0.063,4.191160057,0.107247394,CLAS omega
1.905,0.25,-0.513514816,2.252,0.063,3.833668745,0.107247394,CLAS omega
1.905,0.35,-0.45477213,2.206,0.069,3.755361124,0.117461431,CLAS omega
1.905,0.45,-0.396029444,2.482,0.076,4.225206849,0.129377808,CLAS omega
1.905,0.55,-0.337286758,3.039,0.092,5.173409998,0.156615242,CLAS omega
1.905,0.65,-0.278544072,3.557,0.104,6.055221903,0.177043317,CLAS omega
1.905,0.75,-0.219801385,4.475,0.12,7.617969641,0.20428075,CLAS omega
1.915,-0.75,-1.136048601,2.149,0.057,3.527457933,0.093562169,CLAS omega
1.915,-0.65,-1.075126542,2.253,0.056,3.698167856,0.091920728,CLAS omega
1.915,-0.55,-1.014204483,2.367,0.052,3.885292195,0.085354962,CLAS omega
1.915,-0.45,-0.953282424,2.436,0.05,3.998551663,0.082072078,CLAS omega
1.915,-0.35,-0.892360365,2.637,0.052,4.328481418,0.085354962,CLAS omega
1.915,-0.25,-0.831438306,2.747,0.055,4.509039991,0.090279286,CLAS omega
1.915,-0.15,-0.770516247,2.449,0.051,4.019890403,0.08371352,CLAS omega
1.915,-0.05,-0.709594188,2.504,0.054,4.11016969,0.088637845,CLAS omega
1.915,0.05,-0.648672129,2.365,0.058,3.882009312,0.095203611,CLAS omega
1.915,0.15,-0.58775007,2.403,0.064,3.944384091,0.10505226,CLAS omega
1.915,0.25,-0.526828011,2.238,0.066,3.673546232,0.108335144,CLAS omega
1.915,0.35,-0.465905953,2.19,0.069,3.594757037,0.113259468,CLAS omega
1.915,0.45,-0.404983894,2.414,0.077,3.962439949,0.126391001,CLAS omega
1.915,0.55,-0.344061835,2.887,0.091,4.738841811,0.149371183,CLAS omega
1.915,0.65,-0.283139776,3.755,0.111,6.163613093,0.182200014,CLAS omega
1.915,0.75,-0.222217717,4.412,0.12,7.242040204,0.196972988,CLAS omega
1.925,-0.75,-1.171193183,2.063,0.055,3.269806504,0.087173707,CLAS omega
1.925,-0.65,-1.108100765,2.177,0.055,3.450493825,0.087173707,CLAS omega
1.925,-0.55,-1.045008346,2.253,0.051,3.570952038,0.080833801,CLAS omega
1.925,-0.45,-0.981915928,2.27,0.048,3.597896638,0.076078872,CLAS omega
1.925,-0.35,-0.91882351,2.677,0.054,4.242982071,0.085588731,CLAS omega
1.925,-0.25,-0.855731091,2.529,0.051,4.00840555,0.080833801,CLAS omega
1.925,-0.15,-0.792638673,2.622,0.055,4.155808364,0.087173707,CLAS omega
1.925,-0.05,-0.729546254,2.408,0.054,3.816623394,0.085588731,CLAS omega
1.925,0.05,-0.666453836,2.41,0.06,3.819793347,0.09509859,CLAS omega
1.925,0.15,-0.603361418,2.302,0.062,3.648615886,0.098268543,CLAS omega
1.925,0.25,-0.540268999,2.194,0.065,3.477438425,0.103023472,CLAS omega
1.925,0.35,-0.477176581,2.104,0.067,3.334790541,0.106193425,CLAS omega
1.925,0.45,-0.414084163,2.217,0.071,3.513892884,0.112533331,CLAS omega
1.925,0.55,-0.350991744,2.758,0.091,4.371365167,0.144232861,CLAS omega
1.925,0.65,-0.287899326,3.657,0.109,5.796259034,0.172762438,CLAS omega
1.925,0.75,-0.224806907,4.158,0.117,6.590332257,0.18544225,CLAS omega
1.935,-0.75,-1.206388995,1.967,0.054,3.01430123,0.082751534,CLAS omega
1.935,-0.65,-1.141133407,1.983,0.051,3.038820203,0.078154226,CLAS omega
1.935,-0.55,-1.075877818,2.139,0.049,3.277880188,0.075089354,CLAS omega
1.935,-0.45,-1.01062223,2.057,0.044,3.152220452,0.067427175,CLAS omega
1.935,-0.35,-0.945366642,2.328,0.048,3.567510556,0.073556919,CLAS omega
1.935,-0.25,-0.880111054,2.475,0.051,3.792778619,0.078154226,CLAS omega
