W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
2.565,0.75,-0.539128175,1.913,0.033,0.907049397,0.015646958,CLAS omega
2.565,0.85,-0.328224557,6.26,0.106,2.968180462,0.050259925,CLAS omega
2.565,0.92,-0.180592024,14.63,0.543,6.936817916,0.257463577,CLAS omega
2.575,0.55,-0.972309605,0.5801,0.0158,0.271731166,0.007401056,CLAS omega
2.575,0.65,-0.758826549,0.8614,0.0197,0.403498064,0.009227899,CLAS omega
2.575,0.75,-0.545343492,1.845,0.033,0.864237204,0.015457901,CLAS omega
2.575,0.85,-0.331860435,5.595,0.096,2.620816886,0.04496844,CLAS omega
2.575,0.92,-0.182422296,13.72,0.484,6.426739532,0.226715884,CLAS omega
2.585,0.55,-0.983732851,0.5427,0.0158,0.251166219,0.007312376,CLAS omega
2.585,0.65,-0.7676608,0.834,0.0206,0.38598236,0.009533857,CLAS omega
2.585,0.75,-0.55158875,1.796,0.036,0.831204219,0.016661109,CLAS omega
2.585,0.85,-0.335516699,4.644,0.089,2.149283069,0.041189964,CLAS omega
2.585,0.92,-0.184266264,13.33,0.507,6.169238439,0.234643953,CLAS omega
2.595,0.55,-0.995205028,0.5172,0.0162,0.236520117,0.007408403,CLAS omega
2.595,0.65,-0.77653441,0.8658,0.0223,0.395937968,0.010197986,CLAS omega
2.595,0.75,-0.557863792,1.745,0.036,0.798003874,0.016463117,CLAS omega
2.595,0.85,-0.339193175,4.913,0.096,2.246758185,0.043901646,CLAS omega
2.595,0.92,-0.186123743,14.09,0.56,6.443481138,0.256092934,CLAS omega
2.605,0.65,-0.785447246,0.8136,0.0167,0.367680995,0.007547041,CLAS omega
2.605,0.75,-0.564168471,1.717,0.028,0.775944283,0.012653722,CLAS omega
2.605,0.85,-0.342889697,5.588,0.09,2.525321289,0.040672676,CLAS omega
2.605,0.92,-0.187994555,17.84,0.565,8.06222831,0.255334024,CLAS omega
2.615,0.65,-0.79439918,0.7833,0.0155,0.349849091,0.00692284,CLAS omega
2.615,0.75,-0.570502643,1.874,0.029,0.83699374,0.012952411,CLAS omega
2.615,0.85,-0.346606106,5.327,0.082,2.379223935,0.036624059,CLAS omega
2.615,0.92,-0.18987853,10.74,0.36,4.796858468,0.160788552,CLAS omega
2.625,0.65,-0.80339009,0.7694,0.0184,0.339655078,0.008122762,CLAS omega
2.625,0.75,-0.576866169,1.724,0.032,0.761067526,0.014126543,CLAS omega
2.625,0.85,-0.350342249,5.653,0.104,2.495542184,0.045911266,CLAS omega
2.625,0.92,-0.191775504,10.39,0.386,4.586712063,0.17040143,CLAS omega
2.635,0.65,-0.812419858,0.7132,0.0187,0.311222322,0.008160204,CLAS omega
2.635,0.75,-0.583258918,1.717,0.035,0.749255086,0.015273109,CLAS omega
2.635,0.85,-0.354097978,4.674,0.093,2.039614603,0.040582832,CLAS omega
2.635,0.92,-0.19368532,15.83,0.707,6.90780898,0.3085168,CLAS omega
2.645,0.65,-0.821488371,0.6823,0.0179,0.294338914,0.007721921,CLAS omega
2.645,0.75,-0.589680762,1.502,0.03,0.64795112,0.012941767,CLAS omega
2.645,0.85,-0.357873153,5.298,0.112,2.285516002,0.048315929,CLAS omega
2.645,0.92,-0.195607826,12.02,0.504,5.185334531,0.217421681,CLAS omega
2.655,0.65,-0.830595519,0.6314,0.017,0.269295141,0.007250582,CLAS omega
2.655,0.75,-0.596131578,1.55,0.032,0.661082464,0.013648154,CLAS omega
2.655,0.85,-0.361667637,4.945,0.103,2.109066314,0.043929996,CLAS omega
2.655,0.92,-0.197542878,14.85,0.61,6.333596513,0.260167938,CLAS omega
2.665,0.65,-0.839741197,0.5994,0.0164,0.252772795,0.006916039,CLAS omega
2.665,0.75,-0.602611248,1.478,0.031,0.623286939,0.013073001,CLAS omega
2.665,0.85,-0.365481299,4.324,0.09,1.823472749,0.037953873,CLAS omega
2.665,0.92,-0.199490335,10.1,0.448,4.259267984,0.188925946,CLAS omega
2.675,0.65,-0.848925304,0.6231,0.0174,0.259835418,0.007255876,CLAS omega
2.675,0.75,-0.609119659,1.492,0.033,0.622170508,0.013761144,CLAS omega
2.675,0.85,-0.369314014,4.231,0.092,1.764345454,0.038364401,CLAS omega
2.675,0.92,-0.201450062,11.93,0.544,4.974862035,0.226850373,CLAS omega
2.685,0.65,-0.858147742,0.5814,0.0179,0.239761435,0.007381716,CLAS omega
2.685,0.75,-0.615656701,1.392,0.033,0.574041825,0.01360875,CLAS omega
2.685,0.85,-0.37316566,4.845,0.125,1.998011956,0.051548296,CLAS omega
2.685,0.92,-0.203421931,13.01,0.736,5.365146657,0.303516367,CLAS omega
2.695,0.65,-0.867408418,0.5622,0.0177,0.229295171,0.007219005,CLAS omega
2.695,0.75,-0.622222269,1.361,0.033,0.555088453,0.013459162,CLAS omega
2.695,0.85,-0.37703612,4.56,0.112,1.859811421,0.045679579,CLAS omega
2.695,0.92,-0.205405816,13.39,0.667,5.461156783,0.272038206,CLAS omega
2.705,0.65,-0.87670724,0.5889,0.0178,0.237564111,0.007180576,CLAS omega
2.705,0.75,-0.628816261,1.313,0.032,0.529668327,0.012908901,CLAS omega
2.705,0.85,-0.380925283,4.605,0.116,1.857671476,0.046794765,CLAS omega
2.705,0.93,-0.1826125,15.76,3.742,6.357633541,1.509534563,CLAS omega
2.715,0.65,-0.886044121,0.5512,0.0163,0.219947252,0.006504246,CLAS omega
2.715,0.75,-0.63543858,1.305,0.032,0.520738686,0.012769071,CLAS omega
2.715,0.85,-0.384833039,4.248,0.105,1.695094204,0.041898515,CLAS omega
2.715,0.92,-0.209409161,11.64,0.588,4.644749656,0.234631684,CLAS omega
2.725,0.65,-0.895418977,0.5676,0.0174,0.224055716,0.006868516,CLAS omega
2.725,0.75,-0.642089131,1.23,0.03,0.485533,0.011842268,CLAS omega
2.725,0.85,-0.388759285,3.861,0.095,1.524099928,0.037500516,CLAS omega
2.725,0.93,-0.186095409,31.12,7.014,12.28437964,2.768722325,CLAS omega
2.755,0.65,-0.923770593,0.4868,0.016,0.186113152,0.006117113,CLAS omega
2.755,0.75,-0.662209282,1.126,0.029,0.430491802,0.011087267,CLAS omega
2.755,0.85,-0.400647972,3.742,0.103,1.430639719,0.039378913,CLAS omega
2.755,0.93,-0.191398923,12.8,1.2,4.893690113,0.458783448,CLAS omega
2.765,0.65,-0.933296561,0.4521,0.015,0.171039648,0.005674839,CLAS omega
2.765,0.75,-0.668971883,1.123,0.029,0.424856282,0.010971355,CLAS omega
2.765,0.85,-0.404647205,3.943,0.105,1.491726018,0.039723873,CLAS omega
2.765,0.93,-0.193187462,8.859,0.893,3.351559928,0.337842083,CLAS omega
2.775,0.65,-0.942860125,0.435,0.0148,0.162861673,0.005541041,CLAS omega
2.775,0.75,-0.675762291,1.02,0.027,0.381882544,0.010108656,CLAS omega
2.775,0.85,-0.408664458,3.559,0.103,1.332470563,0.038562649,CLAS omega
2.775,0.92,-0.221695975,9.798,0.699,3.66831879,0.261701861,CLAS omega
2.785,0.65,-0.952461214,0.3737,0.0142,0.138468548,0.005261582,CLAS omega
2.785,0.75,-0.682580431,0.9564,0.0284,0.354378697,0.010523165,CLAS omega
2.785,0.85,-0.412699649,3.891,0.121,1.441747709,0.044834611,CLAS omega
2.785,0.93,-0.196795023,30.2,6.524,11.19012614,2.417363673,CLAS omega
2.795,0.65,-0.962099764,0.4449,0.0164,0.163162149,0.006014518,CLAS omega
2.795,0.75,-0.689426229,1.059,0.031,0.388376526,0.011368907,CLAS omega
2.795,0.85,-0.416752695,3.879,0.121,1.422580305,0.04437541,CLAS omega
2.795,0.93,-0.198613867,17.58,2.632,6.447270369,0.965256861,CLAS omega
2.805,0.65,-0.97177571,0.411,0.0152,0.149196248,0.00551772,CLAS omega
2.805,0.75,-0.696299614,1.067,0.031,0.387329432,0.011253245,CLAS omega
2.805,0.85,-0.420823518,3.312,0.104,1.202282175,0.037752822,CLAS omega
2.805,0.92,-0.22799025,13.64,1.189,4.951427797,0.431616397,CLAS omega
2.815,0.65,-0.981488991,0.3787,0.0148,0.136081813,0.005318222,CLAS omega
2.815,0.75,-0.703200516,0.913,0.0283,0.328076828,0.010169304,CLAS omega
2.815,0.85,-0.424912042,3.167,0.116,1.138027727,0.041683365,CLAS omega
2.815,0.93,-0.202281262,15.16,3.011,5.447584573,1.081970788,CLAS omega
2.825,0.65,-0.991239546,0.3694,0.0148,0.131407318,0.00526483,CLAS omega
2.825,0.75,-0.71012887,0.9208,0.0282,0.327557819,0.010031636,CLAS omega
2.825,0.85,-0.429018194,3.028,0.101,1.077155818,0.035928909,CLAS omega
2.825,0.93,-0.204129653,18.42,2.386,6.552579314,0.848776017,CLAS omega
2.835,0.75,-0.717084611,0.8625,0.027,0.303758462,0.009508961,CLAS omega
2.835,0.85,-0.433141904,3.474,0.125,1.223486256,0.044022965,CLAS omega
2.835,0.92,-0.234382009,11.96,1.066,4.212117337,0.37542785,CLAS omega
2.476,,-0.037,,,25.9,3.1,Ballam2.8GeV
2.476,,-0.08,,,21.4,3,Ballam2.8GeV
2.476,,-0.125,,,14.7,2.3,Ballam2.8GeV
2.476,,-0.175,,,7.6,1.6,Ballam2.8GeV
2.476,,-0.25,,,6.4,1.1,Ballam2.8GeV
2.476,,-0.35,,,4.2,0.8,Ballam2.8GeV
2.476,,-0.45,,,1.2,0.6,Ballam2.8GeV
2.476,,-0.75,,,0.8,0.2,Ballam2.8GeV
3.114,,-0.037,,,19.6,3.1,Ballam4.7GeV
3.114,,-0.08,,,10.8,1.8,Ballam4.7GeV
3.114,,-0.125,,,8.1,1.4,Ballam4.7GeV
3.114,,-0.175,,,5.6,1.1,Ballam4.7GeV
3.114,,-0.25,,,2.8,0.6,Ballam4.7GeV
3.114,,-0.35,,,1.9,0.5,Ballam4.7GeV
3.114,,-0.45,,,0.8,0.4,Ballam4.7GeV
3.114,,-0.75,,,0.3,0.1,Ballam4.7GeV
4.281,,-0.04,,,10.2,1.4,Ballam9.3GeV
4.281,,-0.08,,,6.9,1,Ballam9.3GeV
4.281,,-0.125,,,6.5,1,Ballam9.3GeV
4.281,,-0.175,,,3.7,0.8,Ballam9.3GeV
4.281,,-0.25,,,2.2,0.5,Ballam9.3GeV
4.281,,-0.35,,,0.8,0.2,Ballam9.3GeV
4.281,,-0.45,,,0.8,0.2,Ballam9.3GeV
4.281,,-0.75,,,0.15,0.07,Ballam9.3GeV
80,0.999985932,-0.045,23927.12418,3774.599804,7.48,1.18,ZEUS80GeV
80,0.999954671,-0.145,6941.425064,1599.406697,2.17,0.5,ZEUS80GeV
80,0.999923096,-0.246,2718.991384,767.7152144,0.85,0.24,ZEUS80GeV
80,0.999892148,-0.345,991.632152,607.7745447,0.31,0.19,ZEUS80GeV
80,0.999858385,-0.453,703.7389465,287.8932054,0.22,0.09,ZEUS80GeV
80,0.999829624,-0.545,127.9525357,127.9525357,0.04,0.04,ZEUS80GeV
2.606,,-0.01,,,32.3,2.8,Barber2.8-3.5GeV
2.606,,-0.03,,,28.8,2.8,Barber2.8-3.5GeV
2.606,,-0.05,,,17.4,2.1,Barber2.8-3.5GeV
2.606,,-0.075,,,13.9,1.7,Barber2.8-3.5GeV
2.606,,-0.105,,,11.9,1.7,Barber2.8-3.5GeV
2.606,,-0.14,,,11.5,1.7,Barber2.8-3.5GeV
2.606,,-0.18,,,13.8,3.1,Barber2.8-3.5GeV
2.606,,-0.25,,,4.1,0.9,Barber2.8-3.5GeV
2.606,,-0.35,,,3,1.3,Barber2.8-3.5GeV
2.606,,-0.45,,,0.8,0.05,Barber2.8-3.5GeV
2.846,,-0.01,,,18.3,1.6,Barber3.5-4.2GeV
2.846,,-0.03,,,15.1,1.4,Barber3.5-4.2GeV
2.846,,-0.05,,,12.7,1.4,Barber3.5-4.2GeV
2.846,,-0.075,,,10,1.1,Barber3.5-4.2GeV
2.846,,-0.105,,,8.1,0.9,Barber3.5-4.2GeV
2.846,,-0.14,,,6.5,0.7,Barber3.5-4.2GeV
2.846,,-0.18,,,3.1,0.7,Barber3.5-4.2GeV
2.846,,-0.25,,,3.4,0.5,Barber3.5-4.2GeV
2.846,,-0.35,,,1.9,0.3,Barber3.5-4.2GeV
2.846,,-0.45,,,0.9,0.3,Barber3.5-4.2GeV
3.053,,-0.01,,,15.3,2.2,Barber4.2-4.8GeV
3.053,,-0.03,,,14.4,2.2,Barber4.2-4.8GeV
3.053,,-0.05,,,10.2,1.8,Barber4.2-4.8GeV
3.053,,-0.075,,,7.3,1.1,Barber4.2-4.8GeV
3.053,,-0.105,,,7.1,1.3,Barber4.2-4.8GeV
3.053,,-0.14,,,5.6,1,Barber4.2-4.8GeV
3.053,,-0.18,,,5.2,1,Barber4.2-4.8GeV
3.053,,-0.25,,,3.2,0.5,Barber4.2-4.8GeV
3.053,,-0.35,,,1.1,0.3,Barber4.2-4.8GeV
3.053,,-0.45,,,0.3,0.2,Barber4.2-4.8GeV
16.379,,-0.0107,,,10.41,2.35,Busenitz60-225
16.379,,-0.03455,,,6.23,1.89,Busenitz60-225
16.379,,-0.0646,,,4.64,1.65,Busenitz60-225
16.379,,-0.11325,,,2.43,0.79,Busenitz60-225
16.379,,-0.21865,,,0.87,0.32,Busenitz60-225
16.379,,-0.64615,,,0.1,0.05,Busenitz60-225
